Date,Predicted
2017-04-13,41953.24761932145
2017-04-14,41959.19384482033
2017-04-17,41964.51805675454
2017-04-18,41975.13919130015
2017-04-19,41989.23219480339
2017-04-20,42004.91391002688
2017-04-21,42021.19641456814
2017-04-24,42037.67290554967
2017-04-25,42054.201457541894
2017-04-26,42070.740037779775
2017-04-27,42087.27878027248
2017-04-28,42103.816419263516
2017-05-02,42120.35333103002
2017-05-04,42136.88990929906
2017-05-08,42153.42636126207
2017-05-10,42169.962772382074
2017-05-11,42186.49917251827
2017-05-12,42203.03557052858
2017-05-15,42219.57196849815
2017-05-16,42236.1083666976
2017-05-17,42252.644765049365
2017-05-18,42269.18116347114
2017-05-19,42285.71756191947
2017-05-22,42302.253960376394
2017-05-23,42318.790358835635
2017-05-24,42335.32675729533
2017-05-25,42351.86315575503
2017-05-26,42368.39955421469
2017-05-29,42384.935952674314
2017-05-30,42401.472351133925
2017-05-31,42418.00874959353
2017-06-01,42434.545148053134
2017-06-02,42451.08154651274
2017-06-05,42467.61794497234
2017-06-07,42484.15434343195
2017-06-08,42500.69074189155
2017-06-09,42517.227140351155
2017-06-12,42533.76353881076
2017-06-13,42550.29993727036
2017-06-14,42566.83633572997
2017-06-15,42583.37273418957
2017-06-16,42599.909132649176
2017-06-19,42616.44553110878
2017-06-20,42632.981929568385
2017-06-21,42649.51832802799
2017-06-22,42666.05472648759
2017-06-23,42682.5911249472
2017-06-26,42699.1275234068
2017-06-27,42715.663921866406
2017-06-28,42732.20032032601
2017-06-29,42748.736718785614
2017-06-30,42765.27311724522
2017-07-03,42781.80951570482
2017-07-04,42798.34591416443
2017-07-05,42814.88231262403
2017-07-06,42831.418711083636
2017-07-07,42847.95510954324
2017-07-10,42864.491508002844
2017-07-11,42881.02790646245
2017-07-12,42897.56430492205
2017-07-13,42914.10070338166
2017-07-14,42930.63710184126
2017-07-17,42947.173500300865
2017-07-18,42963.70989876047
2017-07-19,42980.246297220074
2017-07-20,42996.78269567968
2017-07-21,43013.31909413928
2017-07-24,43029.85549259889
2017-07-25,43046.39189105849
2017-07-26,43062.928289518095
2017-07-27,43079.4646879777
2017-07-28,43096.0010864373
2017-07-31,43112.53748489691
2017-08-01,43129.07388335651
2017-08-02,43145.610281816116
2017-08-03,43162.14668027572
2017-08-04,43178.683078735325
2017-08-07,43195.21947719493
2017-08-08,43211.75587565453
2017-08-09,43228.29227411414
2017-08-10,43244.82867257374
2017-08-11,43261.365071033346
2017-08-14,43277.90146949295
2017-08-16,43294.437867952554
2017-08-17,43310.97426641216
2017-08-18,43327.51066487176
2017-08-21,43344.04706333137
2017-08-22,43360.58346179097
2017-08-23,43377.119860250576
2017-08-24,43393.65625871018
2017-08-25,43410.192657169784
2017-08-28,43426.72905562939
2017-08-29,43443.26545408899
2017-08-30,43459.8018525486
2017-08-31,43476.3382510082
2017-09-01,43492.874649467805
2017-09-04,43509.41104792741
2017-09-05,43525.947446387014
2017-09-06,43542.48384484662
2017-09-07,43559.02024330622
2017-09-08,43575.55664176583
2017-09-11,43592.09304022543
2017-09-12,43608.629438685035
2017-09-13,43625.16583714464
2017-09-14,43641.70223560424
2017-09-15,43658.23863406385
2017-09-18,43674.77503252345
2017-09-19,43691.311430983056
2017-09-20,43707.84782944266
2017-09-21,43724.384227902265
2017-09-22,43740.92062636187
2017-09-25,43757.45702482147
2017-09-26,43773.99342328108
2017-09-27,43790.52982174068
2017-09-28,43807.066220200286
2017-09-29,43823.60261865989
2017-10-10,43840.139017119494
2017-10-11,43856.6754155791
2017-10-12,43873.2118140387
2017-10-13,43889.74821249831
2017-10-16,43906.28461095791
2017-10-17,43922.821009417516
2017-10-18,43939.35740787712
2017-10-19,43955.893806336724
2017-10-20,43972.43020479633
2017-10-23,43988.96660325593
2017-10-24,44005.50300171554
2017-10-25,44022.03940017514
2017-10-26,44038.575798634745
2017-10-27,44055.11219709435
2017-10-30,44071.648595553954
2017-10-31,44088.18499401356
2017-11-01,44104.72139247316
2017-11-02,44121.25779093277
2017-11-03,44137.79418939237
2017-11-06,44154.330587851975
2017-11-07,44170.86698631158
2017-11-08,44187.40338477118
2017-11-09,44203.93978323079
2017-11-10,44220.47618169039
2017-11-13,44237.012580149996
2017-11-14,44253.5489786096
2017-11-15,44270.085377069205
2017-11-16,44286.62177552881
2017-11-17,44303.15817398841
2017-11-20,44319.69457244802
2017-11-21,44336.23097090762
2017-11-22,44352.767369367226
2017-11-23,44369.30376782683
2017-11-24,44385.840166286434
2017-11-27,44402.37656474604
2017-11-28,44418.91296320564
2017-11-29,44435.44936166525
2017-11-30,44451.98576012485
2017-12-01,44468.522158584456
2017-12-04,44485.05855704406
2017-12-05,44501.594955503664
2017-12-06,44518.13135396327
2017-12-07,44534.66775242287
2017-12-08,44551.20415088248
2017-12-11,44567.74054934208
2017-12-12,44584.276947801685
2017-12-13,44600.81334626129
2017-12-14,44617.349744720894
2017-12-15,44633.8861431805
2017-12-18,44650.4225416401
2017-12-19,44666.95894009971
2017-12-20,44683.49533855931
2017-12-21,44700.031737018915
2017-12-22,44716.56813547852
2017-12-26,44733.10453393812
2017-12-27,44749.64093239773
2017-12-28,44766.17733085733
2018-01-02,44782.713729316936
2018-01-03,44799.25012777654
2018-01-04,44815.786526236145
2018-01-05,44832.32292469575
2018-01-08,44848.85932315535
2018-01-09,44865.39572161496
2018-01-10,44881.93212007456
2018-01-11,44898.468518534166
2018-01-12,44915.00491699377
2018-01-15,44931.541315453374
2018-01-16,44948.07771391298
2018-01-17,44964.61411237258
2018-01-18,44981.15051083219
2018-01-19,44997.68690929179
2018-01-22,45014.223307751396
2018-01-23,45030.759706211
2018-01-24,45047.296104670604
2018-01-25,45063.83250313021
2018-01-26,45080.36890158981
2018-01-29,45096.90530004942
2018-01-30,45113.44169850902
2018-01-31,45129.978096968625
2018-02-01,45146.51449542823
2018-02-02,45163.050893887834
2018-02-05,45179.58729234744
2018-02-06,45196.12369080704
2018-02-07,45212.66008926665
2018-02-08,45229.19648772625
2018-02-09,45245.732886185855
2018-02-12,45262.26928464546
2018-02-13,45278.80568310506
2018-02-14,45295.34208156467
2018-02-19,45311.87848002427
2018-02-20,45328.414878483876
2018-02-21,45344.95127694348
2018-02-22,45361.487675403085
2018-02-23,45378.02407386269
2018-02-26,45394.56047232229
2018-02-27,45411.0968707819
2018-02-28,45427.6332692415
2018-03-02,45444.169667701106
2018-03-05,45460.70606616071
2018-03-06,45477.242464620314
2018-03-07,45493.77886307992
2018-03-08,45510.31526153952
2018-03-09,45526.85165999913
2018-03-12,45543.38805845873
2018-03-13,45559.924456918336
2018-03-14,45576.46085537794
2018-03-15,45592.997253837544
2018-03-16,45609.53365229715
2018-03-19,45626.07005075675
2018-03-20,45642.60644921636
2018-03-21,45659.14284767596
2018-03-22,45675.679246135565
2018-03-23,45692.21564459517
2018-03-26,45708.752043054774
2018-03-27,45725.28844151438
2018-03-28,45741.82483997398
2018-03-29,45758.36123843359
2018-03-30,45774.89763689319
