Date,Predicted
2018-02-13,36358.76171875
2018-02-14,36457.82421875
2018-02-19,36563.9375
2018-02-20,36676.8203125
2018-02-21,36794.625
2018-02-22,36917.41015625
2018-02-23,37039.484375
2018-02-26,37154.3125
2018-02-27,37259.609375
2018-02-28,37353.046875
2018-03-02,37434.703125
2018-03-05,37504.33984375
2018-03-06,37562.58984375
2018-03-07,37612.078125
2018-03-08,37658.71484375
2018-03-09,37705.62109375
2018-03-12,37756.43359375
2018-03-13,37811.8203125
2018-03-14,37871.5703125
2018-03-15,37936.3046875
2018-03-16,38004.9140625
2018-03-19,38078.26171875
2018-03-20,38155.046875
2018-03-21,38235.37890625
2018-03-22,38319.41796875
2018-03-23,38405.52734375
2018-03-26,38491.16796875
2018-03-27,38573.0234375
2018-03-28,38649.8828125
2018-03-29,38720.91015625
2018-03-30,38789.37109375
2018-04-02,38857.54296875
2018-04-03,38927.5
2018-04-04,38995.921875
2018-04-05,39064.83203125
2018-04-06,39134.43359375
2018-04-09,39202.90625
2018-04-10,39265.26953125
2018-04-11,39317.52734375
2018-04-12,39354.9453125
2018-04-13,39377.98046875
2018-04-16,39390.80078125
2018-04-17,39392.2578125
2018-04-18,39383.5859375
2018-04-19,39370.42578125
2018-04-20,39357.4609375
2018-04-23,39349.10546875
2018-04-24,39345.3671875
2018-04-25,39342.796875
2018-04-26,39340.64453125
2018-04-27,39339.9453125
2018-04-30,39342.58984375
2018-05-02,39348.328125
2018-05-03,39359.48046875
2018-05-04,39376.6484375
2018-05-08,39396.65625
2018-05-09,39416.93359375
2018-05-10,39432.61328125
2018-05-11,39442.32421875
2018-05-14,39444.21484375
2018-05-15,39440.8515625
2018-05-16,39432.33984375
2018-05-17,39417.21484375
2018-05-18,39394.27734375
2018-05-21,39361.421875
2018-05-23,39319.68359375
2018-05-24,39269.8984375
2018-05-25,39214.2265625
2018-05-28,39157.52734375
2018-05-29,39102.8046875
2018-05-30,39052.68359375
2018-05-31,39006.5546875
2018-06-01,38963.38671875
2018-06-04,38921.28125
2018-06-05,38876.67578125
2018-06-07,38821.09765625
2018-06-08,38749.83984375
2018-06-11,38662.97265625
2018-06-12,38561.78125
2018-06-14,38447.29296875
2018-06-15,38320.05078125
2018-06-18,38181.8515625
2018-06-19,38037.9140625
2018-06-20,37894.37109375
2018-06-21,37753.86328125
2018-06-22,37618.859375
2018-06-25,37490.01953125
2018-06-26,37370.765625
2018-06-27,37263.7109375
2018-06-28,37170.44921875
2018-06-29,37088.0234375
2018-07-02,37015.4609375
2018-07-03,36949.9609375
2018-07-04,36888.78515625
2018-07-05,36830.0234375
2018-07-06,36771.76953125
2018-07-09,36710.59765625
2018-07-10,36643.83984375
2018-07-11,36573.30078125
2018-07-12,36502.3828125
2018-07-13,36433.6484375
2018-07-16,36372.765625
2018-07-17,36322.06640625
2018-07-18,36281.453125
2018-07-19,36250.71875
2018-07-20,36227.2265625
2018-07-23,36210.26953125
2018-07-24,36198.3359375
2018-07-25,36189.79296875
2018-07-26,36188.578125
2018-07-27,36195.87890625
2018-07-30,36212.453125
2018-07-31,36238.828125
2018-08-01,36274.19921875
2018-08-02,36318.1484375
2018-08-03,36366.66015625
2018-08-06,36415.8046875
2018-08-07,36464.72265625
2018-08-08,36512.0546875
2018-08-09,36558.42578125
2018-08-10,36601.734375
2018-08-13,36641.16796875
2018-08-14,36673.0703125
2018-08-16,36695.484375
2018-08-17,36706.13671875
2018-08-20,36703.63671875
2018-08-21,36689.63671875
2018-08-22,36664.94140625
2018-08-23,36630.2890625
2018-08-24,36588.37109375
2018-08-27,36541.46484375
2018-08-28,36488.56640625
2018-08-29,36434.43359375
2018-08-30,36387.4375
2018-08-31,36352.12890625
2018-09-03,36331.4609375
2018-09-04,36325.6171875
2018-09-05,36335.66015625
